frame,tipo_objeto,confianza,id_tracking,x1,y1,x2,y2,mx1,my1,mx2,my2,plate_text,plate_conf
1,bus,0.96,1,1395,55,1919,478,1833.0,71.0,1925.0,244.0,,0.44
1,car,0.82,2,1321,313,1399,372,,,,,,
1,car,0.62,3,1237,314,1279,344,,,,,,
1,car,0.55,4,1282,313,1327,343,,,,,,
1,person,0.46,5,974,303,1005,381,,,,,,
2,bus,0.95,1,1392,59,1919,476,,,,,,
2,car,0.83,2,1320,313,1398,371,,,,,,
2,car,0.65,3,1237,314,1279,344,,,,,,
2,car,0.56,4,1284,313,1325,343,,,,,,
2,person,0.5,5,976,306,1006,381,,,,,,
3,bus,0.96,1,1391,62,1918,474,,,,,,
3,car,0.81,2,1319,313,1397,371,,,,,,
3,car,0.64,3,1238,314,1279,344,,,,,,
3,car,0.54,4,1285,313,1324,342,,,,,,
3,person,0.48,5,978,313,1006,380,,,,,,
4,bus,0.94,1,1389,66,1919,473,,,,,,
4,car,0.81,2,1318,312,1394,371,,,,,,
4,car,0.63,3,1238,314,1278,343,,,,,,
4,car,0.56,4,1287,313,1323,343,,,,,,
4,person,0.48,5,979,304,1008,380,,,,,,
5,bus,0.95,1,1389,70,1919,469,,,,,,
5,car,0.81,2,1316,312,1393,370,,,,,,
5,car,0.62,3,1238,314,1277,343,,,,,,
5,car,0.58,4,1287,314,1323,342,,,,,,
5,person,0.41,5,979,301,1008,379,,,,,,
6,bus,0.95,1,1388,73,1919,467,,,,,,
6,car,0.81,2,1315,313,1392,369,,,,,,
6,car,0.61,3,1237,314,1276,343,,,,,,
6,car,0.57,4,1287,313,1323,343,,,,,,
6,person,0.41,5,978,298,1009,378,,,,,,
7,bus,0.94,1,1386,79,1919,466,,,,,,
7,car,0.81,2,1314,313,1391,369,,,,,,
7,car,0.64,3,1236,314,1275,342,,,,,,
7,car,0.55,4,1287,313,1323,343,,,,,,
7,person,0.47,5,981,300,1010,377,,,,,,
8,bus,0.95,1,1383,83,1919,465,,,,,,
8,car,0.82,2,1314,314,1390,369,,,,,,
8,car,0.58,3,1232,315,1274,343,,,,,,
8,car,0.51,4,1285,314,1322,343,,,,,,
