frame,tipo_objeto,confianza,id_tracking,x1,y1,x2,y2,mx1,my1,mx2,my2,confianza_matricula,texto_matricula
1,car,0.71,1,1426,321,1509,385,,,,,,
1,person,0.7,2,563,268,610,414,,,,,,
1,car,0.67,3,1302,319,1343,350,,,,,,
1,car,0.6,4,1345,324,1394,355,,,,,,
2,car,0.72,1,1426,321,1508,383,,,,,,
2,person,0.74,2,563,268,614,417,,,,,,
2,car,0.67,3,1302,319,1343,350,,,,,,
3,car,0.72,1,1426,321,1508,383,,,,,,
3,person,0.7,2,565,271,613,416,,,,,,
3,car,0.67,3,1301,319,1343,350,,,,,,
4,car,0.73,1,1426,322,1509,384,,,,,,
4,person,0.73,2,567,270,615,415,,,,,,
4,car,0.67,3,1302,319,1343,350,,,,,,
5,car,0.73,1,1426,322,1509,384,,,,,,
5,person,0.73,2,568,269,615,414,,,,,,
5,car,0.67,3,1302,319,1343,350,,,,,,
6,car,0.71,1,1426,322,1508,384,,,,,,
6,person,0.78,2,568,270,615,415,,,,,,
6,car,0.67,3,1302,319,1343,350,,,,,,
7,car,0.72,1,1426,323,1505,383,,,,,,
7,person,0.78,2,569,272,615,415,,,,,,
7,car,0.68,3,1302,319,1343,350,,,,,,
8,car,0.71,1,1426,323,1507,384,,,,,,
8,person,0.77,2,569,274,616,414,,,,,,
8,car,0.68,3,1302,319,1343,349,,,,,,
9,car,0.7,1,1426,323,1504,383,,,,,,
9,person,0.77,2,569,273,617,414,,,,,,
9,car,0.68,3,1302,319,1343,350,,,,,,
10,car,0.72,1,1426,323,1501,382,,,,,,
10,person,0.78,2,572,273,619,414,,,,,,
10,car,0.69,3,1302,320,1343,350,,,,,,
10,car,0.61,4,1345,324,1395,355,,,,,,
11,car,0.71,1,1426,323,1500,382,,,,,,
11,person,0.78,2,573,273,620,414,,,,,,
11,car,0.69,3,1302,320,1343,350,,,,,,
11,car,0.61,4,1345,324,1394,355,,,,,,
12,car,0.72,1,1425,323,1499,382,,,,,,
12,person,0.77,2,576,273,621,414,,,,,,
12,car,0.7,3,1302,320,1343,350,,,,,,
12,car,0.61,4,1345,324,1395,355,,,,,,
13,car,0.72,1,1425,323,1499,382,,,,,,
13,person,0.79,2,578,272,622,412,,,,,,
13,car,0.69,3,1302,319,1343,350,,,,,,
13,car,0.61,4,1345,324,1395,355,,,,,,
