epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.82795,1.55094,3.63647,1.4083,0.00329,0.91398,0.56475,0.30352,1.28307,3.37103,1.11469,0.00036,0.00036,0.00036
2,6.63701,1.44597,2.1788,1.22292,0.84101,0.15054,0.40491,0.1861,1.4287,3.2526,1.20655,0.000725348,0.000725348,0.000725348
3,9.41159,1.55031,2.10346,1.24616,0.42581,0.10377,0.15987,0.07512,1.43475,3.37485,1.27582,0.00107565,0.00107565,0.00107565
4,12.0963,1.54613,2.02669,1.26264,0.36066,0.26882,0.24607,0.12402,1.56468,3.09524,1.35576,0.0014109,0.0014109,0.0014109
5,14.8638,1.55743,1.85232,1.28438,0.58633,0.53763,0.57528,0.30468,1.70071,2.70342,1.56376,0.0017311,0.0017311,0.0017311
6,17.5921,1.52006,1.75793,1.27188,0.3406,0.62763,0.27811,0.12988,1.60751,3.28536,1.5419,0.001802,0.001802,0.001802
7,20.2714,1.53466,1.63508,1.29046,0.34662,0.41935,0.38418,0.19506,1.63512,2.628,1.57487,0.0017624,0.0017624,0.0017624
8,22.9236,1.45619,1.54219,1.26043,0.56903,0.51613,0.55265,0.27829,1.66066,2.32317,1.56215,0.0017228,0.0017228,0.0017228
9,25.5662,1.46179,1.45482,1.23739,0.60421,0.52688,0.51002,0.25031,1.59559,2.60919,1.44831,0.0016832,0.0016832,0.0016832
10,28.2582,1.51047,1.43695,1.27991,0.73015,0.55282,0.62942,0.34396,1.62894,2.55697,1.47664,0.0016436,0.0016436,0.0016436
11,30.9891,1.42032,1.34094,1.22955,0.78056,0.65591,0.74754,0.40897,1.51477,1.70721,1.37693,0.001604,0.001604,0.001604
12,33.6387,1.38747,1.2421,1.19384,0.87065,0.7238,0.83092,0.46123,1.55564,1.49819,1.44412,0.0015644,0.0015644,0.0015644
13,36.2471,1.46261,1.26602,1.2476,0.84425,0.7957,0.86601,0.48827,1.49887,1.23547,1.34723,0.0015248,0.0015248,0.0015248
14,38.8637,1.41452,1.19016,1.19679,0.9282,0.84946,0.90005,0.52523,1.44786,1.08029,1.27842,0.0014852,0.0014852,0.0014852
15,41.4813,1.42021,1.13837,1.21274,0.91716,0.80645,0.88991,0.50509,1.43645,1.04711,1.30197,0.0014456,0.0014456,0.0014456
16,44.1164,1.34988,1.06926,1.17226,0.91356,0.79548,0.89655,0.49828,1.47988,1.00598,1.31115,0.001406,0.001406,0.001406
17,46.7741,1.36336,1.07379,1.1867,0.82522,0.81233,0.84741,0.45524,1.46885,1.19918,1.34719,0.0013664,0.0013664,0.0013664
18,49.4049,1.4145,1.0783,1.18657,0.87419,0.76344,0.84222,0.48663,1.4164,1.09315,1.2579,0.0013268,0.0013268,0.0013268
19,52.0139,1.29856,1.02574,1.16397,0.78525,0.78639,0.84277,0.50482,1.4114,1.0212,1.27794,0.0012872,0.0012872,0.0012872
20,54.6648,1.25514,0.96094,1.15978,0.93644,0.7921,0.9081,0.51515,1.40509,0.96123,1.2779,0.0012476,0.0012476,0.0012476
21,57.2506,1.33338,0.96275,1.15975,0.91186,0.78495,0.89148,0.48796,1.43172,1.12526,1.33,0.001208,0.001208,0.001208
22,59.8691,1.29566,0.93437,1.15342,0.97828,0.72043,0.87821,0.47548,1.50976,0.98849,1.30201,0.0011684,0.0011684,0.0011684
23,62.4695,1.29267,0.92805,1.14062,0.87796,0.86022,0.88152,0.48657,1.4448,0.95015,1.29367,0.0011288,0.0011288,0.0011288
24,65.1559,1.24311,0.90746,1.12985,0.93617,0.78858,0.89418,0.49207,1.50435,0.93174,1.28321,0.0010892,0.0010892,0.0010892
25,67.7399,1.24145,0.88311,1.11979,0.92845,0.7957,0.88654,0.50337,1.45376,0.91885,1.26966,0.0010496,0.0010496,0.0010496
26,70.3539,1.29774,0.86901,1.15051,0.96202,0.8172,0.88264,0.49098,1.55406,0.94192,1.33876,0.00101,0.00101,0.00101
27,72.9697,1.27173,0.83658,1.14991,0.90043,0.83871,0.90878,0.50736,1.49784,0.89938,1.30663,0.0009704,0.0009704,0.0009704
28,75.5623,1.24615,0.79772,1.13329,0.93077,0.86741,0.91649,0.51859,1.46742,0.88893,1.29317,0.0009308,0.0009308,0.0009308
29,78.1519,1.23338,0.82963,1.15241,0.95684,0.84946,0.9085,0.5336,1.444,0.89346,1.27367,0.0008912,0.0008912,0.0008912
